system,phase,filename,formation_energy_eV_per_atom,distance_to_hull_eV_per_atom,source_relative_path,sha256
AlPd,Al1Pd2,struct_4576_0_relaxed.vasp,-0.7747430660416631,0.0006843197361152686,AlPd/Al1Pd2/xyz2poscar/struct_4576_0_relaxed.vasp,fcdaab3f77258303bc151eb134a2ae01a1fbf377e68e6bdf69cbc9c949927262
AlPd,Al1Pd3,struct_3949_3_relaxed.vasp,-0.6373318252083292,0.0,AlPd/Al1Pd3/xyz2poscar/struct_3949_3_relaxed.vasp,9209d6ad2883d880fc547f102ea29f425614bafc3d6b29ae94e317433ea92796
AlPd,Al1Pd4,struct_2392_2_relaxed.vasp,-0.5222604252499963,0.0,AlPd/Al1Pd4/xyz2poscar/struct_2392_2_relaxed.vasp,9fa28685868fe879a0bcc6e7835752662ae65b5de799a09a083af9df9e9e5e47
AlPd,Al1Pd5,struct_2670_0_relaxed.vasp,-0.4442788095833296,0.0,AlPd/Al1Pd5/xyz2poscar/struct_2670_0_relaxed.vasp,912550f7415c160849a62f7301b176305fddbce3bbcd690b6069cc154120c4b7
AlPd,Al2Pd5,struct_7677_7_relaxed.vasp,-0.707081089880957,0.0,AlPd/Al2Pd5/xyz2poscar/struct_7677_7_relaxed.vasp,9e0f66dc2e1bc84ba92fb25c5d606fc02318633fbdfb52f3e115a0f2696063ba
AlPd,Al3Pd2,struct_924_6_relaxed.vasp,-0.7620835746666671,0.0,AlPd/Al3Pd2/xyz2poscar/struct_924_6_relaxed.vasp,3fb44da53a729e2a5159ceb8df5147ea2f5908a91c5b027b651c69dfce0dd5c1
AlPd,Al3Pd5,struct_1520_6_relaxed.vasp,-0.835230394687497,0.0,AlPd/Al3Pd5/xyz2poscar/struct_1520_6_relaxed.vasp,2f5a2d15a1a79838adbb34ddc54b34f267ab226d723cd9250850b475d08702c8
AlRh,Al1Rh1,struct_2906_3_relaxed.vasp,-0.6272984959374979,0.0,AlRh/Al1Rh1/xyz2poscar/struct_2906_3_relaxed.vasp,8ef9e038a104d611a571061d9201a95bedf484d645c8827a33be4a5da6671610
AlRh,Al2Rh1,struct_3671_8_relaxed.vasp,-0.4935698702777742,0.0,AlRh/Al2Rh1/xyz2poscar/struct_3671_8_relaxed.vasp,70094477bbd8230688dbcda8fc9504c537ceacaa09021778348157a23de59611
AlRh,Al3Rh1,struct_5487_3_relaxed.vasp,-0.409039016875,0.0,AlRh/Al3Rh1/xyz2poscar/struct_5487_3_relaxed.vasp,6cd8846e1619bc830f68c06186a983eac2571764de58e75e80f8c9a7a7ed1f24
