system,phase,filename,reduced_formula,number_of_atoms,space_group_symbol,space_group_number,target_element,target_element_fraction,dft_formation_energy_eV_per_atom,dft_distance_to_combined_hull_eV_per_atom,mlip_formation_energy_eV_per_atom,mlip_distance_to_search_hull_eV_per_atom,materials_project_match,materials_project_references_checked,source_relative_path,sha256
CuPd,Cu5Pd1,struct_2487_6_relaxed.vasp,Cu5Pd,48,I4_1/amd,141,Pd,0.16666666666666666,-0.12561468687499833,0.0,-0.06622334554178681,0.005775606944163722,False,0,CuPd/Cu5Pd1/xyz2poscar/struct_2487_6_relaxed.vasp,4ff13aaaf4f5f099599158c8cede5d84fb8ac5004e4399db205189c0609e0ce9
CuSc,Cu2Sc1,struct_4327_2_relaxed.vasp,ScCu2,36,Cmcm,63,Sc,0.3333333333333333,-0.280716846666667,0.0,-0.16995356104510584,0.010205293921886072,False,1,CuSc/Cu2Sc1/xyz2poscar/struct_4327_2_relaxed.vasp,fd4c608f3041bcac3360b863d21f7c34fdd2de6064d3c112f4ee45c4e939ede3
CuSc,Cu5Sc1,struct_10705_3_relaxed.vasp,ScCu5,24,I-4m2,119,Sc,0.16666666666666666,-0.20905160166666725,0.0,-0.1364856666186641,0.0,False,0,CuSc/Cu5Sc1/xyz2poscar/struct_10705_3_relaxed.vasp,e737a6c2565a71d2da7d37a4d811a99f63426ca41ac8e2df4438ebbe27b90e4d
CuY,Cu2Y3,struct_8449_7_relaxed.vasp,Y3Cu2,60,I4/mmm,139,Y,0.6,-0.8513505244999995,0.0,-0.14750192945699467,0.03422850272204486,False,0,CuY/Cu2Y3/xyz2poscar/struct_8449_7_relaxed.vasp,13d02664e5e9b51596a008d3d30c95a09842f37f914298785ee80c19cb705351
IrTi,Ir1Ti2,struct_2091_0_relaxed.vasp,Ti2Ir,24,I4/mmm,139,Ti,0.6666666666666666,-0.7079696404166652,0.0,-0.6411403849608478,0.01626313115981759,False,0,IrTi/Ir1Ti2/xyz2poscar/struct_2091_0_relaxed.vasp,1bdfddf1a2b9140b365c41493a5ff691128f46356b58be8783903b719283f13e
IrTi,Ir2Ti1,struct_5018_6_relaxed.vasp,TiIr2,48,I4_1/amd,141,Ti,0.3333333333333333,-0.7934308781250117,0.0,-0.7131457229773233,0.014915387990966145,False,0,IrTi/Ir2Ti1/xyz2poscar/struct_5018_6_relaxed.vasp,65aee2c6d87673bc4c32d07ac0c7b31b58b968cfb8a0b7e6cd5967028bb9847f
IrTi,Ir5Ti1,struct_15489_1_relaxed.vasp,TiIr5,72,C2/m,12,Ti,0.16666666666666666,-0.47742809666667874,0.0008286433333203336,-0.44854091214192554,0.011031551159569053,False,0,IrTi/Ir5Ti1/xyz2poscar/struct_15489_1_relaxed.vasp,0f460b2d0d4ec6b90b796b5bf14ec4e9ece6379ca485f4f31a7d7b96193c1454
MgPd,Mg1Pd4,struct_2486_3_relaxed.vasp,MgPd4,40,I4_1/amd,141,Pd,0.8,-0.3976174414999967,0.0,-0.3871372961080226,4.173745094981918e-06,False,0,MgPd/Mg1Pd4/xyz2poscar/struct_2486_3_relaxed.vasp,a4def304bb7531f8c4d4d047fec2bdedc33c10458f2cd077d0b022613e3b15e6
MgPd,Mg1Pd4,struct_2977_3_relaxed.vasp,MgPd4,40,Cmmm,65,Pd,0.8,-0.397102775999997,0.0005146654999997335,-0.3871414698531176,0.0,False,0,MgPd/Mg1Pd4/xyz2poscar/struct_2977_3_relaxed.vasp,f7a61b2344ce85c9a5840a6e97c66bcbcd5e894adfff44ca2aca66af0d7c2433
MgPd,Mg2Pd1,struct_2245_8_relaxed.vasp,Mg2Pd,24,I4/mcm,140,Pd,0.3333333333333333,-0.5356838362500002,0.0006895424999999733,-0.5115561972489839,0.0,False,2,MgPd/Mg2Pd1/xyz2poscar/struct_2245_8_relaxed.vasp,cea28076a3d9547da49b4e726fa9955fd982337370124e14514350ac3b0682c6
