r_ij,median_interpolated,median_smoothed,E_ij,source,is_original_0p02A_grid
2.97,-0.15541665,-0.15579662,-0.15579662,maincluster_observed_0p02A_bin,True
2.98,-0.15786020,-0.15825225,-0.15825225,maincluster_pchip_resampled,False
2.99,-0.16027191,-0.16066536,-0.16066536,maincluster_observed_0p02A_bin,True
3.00,-0.16290642,-0.16308602,-0.16308602,maincluster_pchip_resampled,False
3.01,-0.16563248,-0.16544836,-0.16544836,maincluster_observed_0p02A_bin,True
3.02,-0.16867816,-0.16769407,-0.16769407,maincluster_pchip_resampled,False
3.03,-0.17119905,-0.16986438,-0.16986438,maincluster_observed_0p02A_bin,True
3.04,-0.17243701,-0.17197024,-0.17197024,maincluster_pchip_resampled,False
3.05,-0.17360776,-0.17403646,-0.17403646,maincluster_observed_0p02A_bin,True
3.06,-0.17567514,-0.17612061,-0.17612061,maincluster_pchip_resampled,False
3.07,-0.17793038,-0.17812915,-0.17812915,maincluster_observed_0p02A_bin,True
3.08,-0.17976002,-0.18000225,-0.18000225,maincluster_pchip_resampled,False
3.09,-0.18139277,-0.18172739,-0.18172739,maincluster_observed_0p02A_bin,True
3.10,-0.18273105,-0.18325683,-0.18325683,maincluster_pchip_resampled,False
3.11,-0.18412997,-0.18467022,-0.18467022,maincluster_observed_0p02A_bin,True
3.12,-0.18639405,-0.18603610,-0.18603610,maincluster_pchip_resampled,False
3.13,-0.18828408,-0.18729282,-0.18729282,maincluster_observed_0p02A_bin,True
3.14,-0.18890286,-0.18840664,-0.18840664,maincluster_pchip_resampled,False
3.15,-0.18943610,-0.18940004,-0.18940004,maincluster_observed_0p02A_bin,True
3.16,-0.19036908,-0.19026035,-0.19026035,maincluster_pchip_resampled,False
3.17,-0.19143520,-0.19105689,-0.19105689,maincluster_observed_0p02A_bin,True
3.18,-0.19267923,-0.19190296,-0.19190296,maincluster_pchip_resampled,False
3.19,-0.19342469,-0.19260390,-0.19260390,maincluster_observed_0p02A_bin,True
3.20,-0.19281418,-0.19305432,-0.19305432,maincluster_pchip_resampled,False
3.21,-0.19220368,-0.19336421,-0.19336421,maincluster_observed_0p02A_bin,True
3.22,-0.19247182,-0.19358491,-0.19358491,maincluster_pchip_resampled,False
3.23,-0.19298095,-0.19369127,-0.19369127,maincluster_observed_0p02A_bin,True
3.24,-0.19373577,-0.19366858,-0.19366858,maincluster_pchip_resampled,False
3.25,-0.19424959,-0.19360961,-0.19360961,maincluster_observed_0p02A_bin,True
3.26,-0.19373348,-0.19335722,-0.19335722,maincluster_pchip_resampled,False
3.27,-0.19301400,-0.19295725,-0.19295725,maincluster_observed_0p02A_bin,True
3.28,-0.19268267,-0.19256972,-0.19256972,maincluster_pchip_resampled,False
3.29,-0.19240774,-0.19211444,-0.19211444,maincluster_observed_0p02A_bin,True
3.30,-0.19217283,-0.19154561,-0.19154561,maincluster_pchip_resampled,False
3.31,-0.19183738,-0.19086552,-0.19086552,maincluster_observed_0p02A_bin,True
3.32,-0.19000007,-0.19004408,-0.19004408,maincluster_pchip_resampled,False
3.33,-0.18809339,-0.18913290,-0.18913290,maincluster_observed_0p02A_bin,True
3.34,-0.18769505,-0.18821830,-0.18821830,maincluster_pchip_resampled,False
3.35,-0.18733059,-0.18723721,-0.18723721,maincluster_observed_0p02A_bin,True
3.36,-0.18641391,-0.18612689,-0.18612689,maincluster_pchip_resampled,False
3.37,-0.18513771,-0.18494197,-0.18494197,maincluster_observed_0p02A_bin,True
3.38,-0.18356589,-0.18373620,-0.18373620,maincluster_pchip_resampled,False
3.39,-0.18203422,-0.18248191,-0.18248191,maincluster_observed_0p02A_bin,True
3.40,-0.18105747,-0.18116621,-0.18116621,maincluster_pchip_resampled,False
3.41,-0.18006534,-0.17979410,-0.17979410,maincluster_observed_0p02A_bin,True
3.42,-0.17854465,-0.17836205,-0.17836205,maincluster_pchip_resampled,False
3.43,-0.17674923,-0.17688402,-0.17688402,maincluster_observed_0p02A_bin,True
3.44,-0.17465221,-0.17537203,-0.17537203,maincluster_pchip_resampled,False
3.45,-0.17288397,-0.17383395,-0.17383395,maincluster_observed_0p02A_bin,True
3.46,-0.17207154,-0.17230488,-0.17230488,maincluster_pchip_resampled,False
3.47,-0.17129254,-0.17071758,-0.17071758,maincluster_observed_0p02A_bin,True
3.48,-0.16988233,-0.16896380,-0.16896380,maincluster_pchip_resampled,False
3.49,-0.16811457,-0.16717516,-0.16717516,maincluster_observed_0p02A_bin,True
3.50,-0.16620976,-0.16549397,-0.16549397,maincluster_pchip_resampled,False
3.51,-0.16409141,-0.16380298,-0.16380298,maincluster_observed_0p02A_bin,True
3.52,-0.16153256,-0.16201494,-0.16201494,maincluster_pchip_resampled,False
3.53,-0.15922406,-0.16017722,-0.16017722,maincluster_observed_0p02A_bin,True
3.54,-0.15788858,-0.15830753,-0.15830753,maincluster_pchip_resampled,False
3.55,-0.15660711,-0.15641416,-0.15641416,maincluster_observed_0p02A_bin,True
3.56,-0.15467020,-0.15450132,-0.15450132,maincluster_pchip_resampled,False
3.57,-0.15253014,-0.15260115,-0.15260115,maincluster_observed_0p02A_bin,True
3.58,-0.15053927,-0.15077728,-0.15077728,maincluster_pchip_resampled,False
3.59,-0.14860371,-0.14893679,-0.14893679,maincluster_observed_0p02A_bin,True
3.60,-0.14670686,-0.14696627,-0.14696627,maincluster_pchip_resampled,False
3.61,-0.14496135,-0.14498279,-0.14498279,maincluster_observed_0p02A_bin,True
3.62,-0.14363281,-0.14308222,-0.14308222,maincluster_pchip_resampled,False
3.63,-0.14214948,-0.14122096,-0.14122096,maincluster_observed_0p02A_bin,True
3.64,-0.13919046,-0.13940313,-0.13940313,maincluster_pchip_resampled,False
3.65,-0.13632441,-0.13758407,-0.13758407,maincluster_observed_0p02A_bin,True
3.66,-0.13505281,-0.13570558,-0.13570558,maincluster_pchip_resampled,False
3.67,-0.13390281,-0.13381202,-0.13381202,maincluster_observed_0p02A_bin,True
3.68,-0.13206148,-0.13192282,-0.13192282,maincluster_pchip_resampled,False
3.69,-0.13017949,-0.13005696,-0.13005696,maincluster_observed_0p02A_bin,True
3.70,-0.12892192,-0.12826462,-0.12826462,maincluster_pchip_resampled,False
3.71,-0.12752814,-0.12646780,-0.12646780,maincluster_observed_0p02A_bin,True
3.72,-0.12459102,-0.12457711,-0.12457711,maincluster_pchip_resampled,False
